id,sessionid,T,sex,age,political,x1,x2,e1,e2,y1,y2,shareX
57,"CELBZ",4,1,21,5,17,21,0,2.85,1.35,1.5,.4736842
157,"EXNFO",2,1,21,4,16,17,0,2.55,.75,1.8,.2941177
280,"YGNEO",1,1,21,5,12,13,0,1.95,0,1.95,0
217,"YGNEO",4,1,21,4,10,23,0,2.85,0,2.85,0
128,"LMDOH",1,2,21,2,18,19,0,2.85,1,1.85,.3508772
333,"JMTHA",4,1,21,3,11,20,0,2.55,1.25,1.3,.4901961
110,"LMDOH",3,2,21,4,13,20,0,3,1,2,.3333333
295,"JMTHA",1,2,21,1,19,22,0,3.3,1,2.3,.3030303
219,"YGNEO",1,2,21,4,19,21,0,3.15,1,2.15,.3174603
106,"LMDOH",2,2,21,2,19,24,0,3.6,.95,2.65,.2638889
181,"EXNFO",2,1,21,2,15,18,0,2.7,0,2.7,0
211,"EXNFO",1,1,22,4,19,20,0,3,1,2,.3333333
133,"LMDOH",3,2,22,2,12,19,0,2.85,1,1.85,.3508772
83,"LMDOH",2,2,22,5,18,18,2.7,2.7,2.7,2.7,.5
4,"CELBZ",4,1,22,4,19,14,0,3.6,1.8,1.8,.5
324,"JMTHA",3,1,22,4,14,17,0,2.55,0,2.55,0
64,"CELBZ",3,1,22,4,14,20,0,3,1,2,.3333333
6,"CELBZ",3,2,22,5,14,18,0,2.7,0,2.7,0
201,"EXNFO",2,1,22,4,20,20,3,3,3,3,.5
235,"YGNEO",1,2,22,4,11,12,0,1.8,0,1.8,0
282,"YGNEO",4,1,22,4,23,22,0,2.85,1.425,1.425,.5
55,"CELBZ",4,2,22,4,14,20,0,2.85,1,1.85,.3508772
197,"EXNFO",3,1,22,4,15,23,0,3.45,1.5,1.95,.4347826
47,"CELBZ",3,2,22,2,15,19,0,2.85,0,2.85,0
46,"CELBZ",1,2,22,4,11,22,0,3.3,1,2.3,.3030303
232,"YGNEO",3,1,22,4,21,21,3.15,3.15,6.15,.1500001,.9761904
348,"JMTHA",4,1,22,4,18,14,0,2.55,1.275,1.275,.5
221,"YGNEO",2,1,22,3,17,24,0,3.6,0,3.6,0
258,"YGNEO",2,1,22,5,6,22,0,3.3,1,2.3,.3030303
204,"EXNFO",2,1,22,3,6,21,0,3.15,0,3.15,0
262,"YGNEO",2,1,22,4,11,22,0,3.3,0,3.3,0
9,"CELBZ",3,1,22,4,14,20,0,3,1,2,.3333333
330,"JMTHA",1,1,22,4,12,13,0,1.95,1,.95,.5128205
194,"EXNFO",1,2,22,3,3,6,0,.9,.4,.5,.4444445
137,"LMDOH",1,1,22,4,20,24,0,3.6,0,3.6,0
